abaza	value
Хъауыура	Хъа-[уыу]-ра\nнеперех.\nвыть над чем-л.\nАла андакь й-гь-а-хъа-м-уыу-х-уазтI. Аб. Т. Собака больше не выла над ямой.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3261
Хъафара	Хъа-[фа]-ра\nперех.\nсъесть, есть что-л. над чем-н.\nАхырбыз адзыхь й-а-къа-р-ф-тI. Аб. Т. Они съели арбуз над родником.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3262a
Хъафра	Хъа-[ф]-ра\nперех.\nсъесть, есть что-л. над чем-н.\nАхырбыз адзыхь й-а-къа-р-ф-тI. Аб. Т. Они съели арбуз над родником.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3262b
Хъаххра (1)	Хъа-[хх]-ра\nперех.\nразрезать что-л. над чем-н. на мелкие куски\nАджьымщы ачIван й-а-хъа-л-хх-тI. Аб. Т. Она (ж.) в бульон разрезала лук на мелкие куски.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3263
Хъаххра (2)	Хъа-[хх]-ра\nперех.\nнаскочить, наскакивать на кого, что-л.\nЙалачIваз йрымдырдзакIва атшыгIв д-ы-р-хъа-ххы-тI. Аб, Т. Всадник наскочил на сидевших незаметно для них.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n4291
Хъахча	Хъа-[хча]-\nсуб.\nобъездчик\nА-хъа-хча дтшыгIвын. Аб. Т. Объездчик был на коне.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3264
ХъахчIра	Хъа-[хчI]-ра\nнеперех.\nразбиться, разбиваться над кем, чем-л.\nАмза рхъахчIытI (й-р-хъа-хчIы-тI). Аб. Т. Над ними разбилась лампа.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3265
Хъахвра	Хъа-[хв]-ра\nперех.\nпросеять, просеивать что-л. над чем-н.\nАмажвадза шыла ахъалхвуан (й-а-хъа-л-хв-уан). Аб. ТТ. Она (ж.) просеивала муку над тестом.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3266
Хъахвара (1)	Хъа-[хва]-ра\nперех.\nнашить, нашивать что-л. над чем-н.\nАпхIвыс амашаквква й-р-хъа-л-хв-ун. Аб. Т. Женщина нашивала над мешками.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3267
Хъахвара (2)	Хъа-[хва]-ра\nнеперех.\nхлебнуть, хлебать сверху\nАдзы д-а-хъа-хва-тI. Аб. Т. Он (ч.) хлебнул воды (сверху).\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3268
Хъахвхвара	Хъа-[хвхва]-ра\nнеперех.\nкапать на что-л. сверху\nАхш ашыла й-а-хъа-хвхв-ун. Аб. Т. Молоко капало на муку.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3269
Хъахваразара	Хъа-[хвараза]-ра\nнеперех.\nпарить над кем, чем-л.\nАнышвква акъанджьаква рапшта йгIахъахварззауа (й-гIа-а-хъа-хварзза-уа) дибатI. Нарт, 89. Он (м.) увидел его (ч.), когда над ним парили, как вороны, комья глины.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3270
Хъахъвмарра	Хъа-[хъвмар]-ра\nнеперех.\nиграть, резвиться на чем-л.\nАцIара чкIвынква ацIлаква й-р-хъа-хъвмар-уан. Ком., 23.VIII.1986, 11. Воробьи играли на деревьях.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3271
Хъахьара	Хъа-[хьа]-ра\nперех.\nнадоить, надаивать что-л. сверху во что-н.\nАхш апщырхIа й-а-хъа-л-хь-ун. Аб, Т. Она (ж.) надаивала молоко в ведро (сверху).\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3272
ХъахIа	Хъа-[хIа]-\nсуб.\nмоток\nРахъва хъа-хIа-кI лнапIыцIан. Аб. Т, В ее (ж.) руке находился моток ниток.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3273
ХъахIара (1)	Хъа-[хIа]-ра\nсуб.\nдоход, прибыль\nАколхоз а-хъа-хIа-ра йалахIун. Аб. Т. Доход колхоза возрастал.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3274
ХъахIара (2)	Хъа-[хIа]-ра\nнеперех.\nполучить, получать доход, иметь прибыль, удачу\nЙ-гIа-у-хъа-хIа-з ачIвыйа? Какую удачу ты (м.) имеешь? Ауи щарда гIайхъахIитI (й-гIа-й-хъа-хI-итI). Аб. Т. Он (м.) получает много прибылей.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3275
ХъахIвара	Хъа-[хIва]-ра\nперех.\nнатащить, натаскивать что-л. на кого-н.\nАчва ахIахъвква й-р-хъа-й-хIва-тI. Аб. Т. Он (м.) натащил сено на камни.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3276
ХъахIвачвара	Хъа-[хIвачва]-ра\nнеперех.\nболтать, пустословить\nЗгвы шIыгъьуа апххъа йаиззитIта й-хъа-хIвачв- итI. Аб. Т. Те, кому делать нечего, собираются на бугорке и болтают.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3277
ХъахIвачва	Хъа-[хIвачва]-\nсуб.\nболтун, болтливый\nХъа-хIва-чва-кI лакIвпI. Ком. 24.V.1986, 8. Она (ж.) — болтливая.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3278
Хъацара	Хъа-[ца]-ра\nперех.\nнагнать, нагонять кого-л. на кого, что-н.;. набить, набивать что-л. на что-н.\nАтшква асабиква й-р-хъа-р-ца-тI. Нышв, 153. Они нагнали лошадей на детей. Абкъвыл ауардыхъв ахъайцун (й-а-хьа-й-ц-ун). АРС, 396. Он (м.) набивал (насаживал) обруч на кадку.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3279
ХъацIгIара	Хъа-[цIгIа]-ра\nперех.\nнасолить, насаливать что-л. сверху чего-н.\nАбкъвыл ашв ахъалцIгIатI (й-а-хъа-л-цIгIа-тI). Аб. Т. Она (ж.) сверху кадки насолила сыр.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3280
Хъачпара	Хъа-[чпа]-ра\nперех.\nнаделать, делать что-л. сверху чего-н.\nАчва хIаджв акв ахъайчпатI (й-а-хъа-й-чпа-тI). Аб. Т. Он (м.) наделал верх скирды сена (сделал верх острым).\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3281
Хъачвра	Хъа-[чв]-ра\nнеперех.\nзаснуть, спать над кем, чем-л.\nЙгIалсаз ачкIвын адзыхь д-а-хъа-чв-тI. Аб. Т. Уставший парень заснул над родником.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3282
Хъачвара	Хъа-[чва]-ра\nперех.\nдолить, доливать что-л. сверху чего-н.\nАпщырхIа дзы ахъалчвахтI (й-а-хъа-л-чва-х-тI). Аб. Т. Она (ж.) в ведро долила (сверху) воды.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3283
Хъачважва	Хъа-[чважва]-\nсуб.\nболтун, пустослов; разговаривающий с самим собой\nЧкIвын хъа-чважва-кI дйынйатI. Аб. Т. Он (ч.) встретился с каким-то болтливым парнем.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3284
Хъачважвара	Хъа-[чважва]-ра\nнеперех.\nболтать, разговаривать с самим собой\nЙ-хъа-чважв-уз айсыгIв йызкв дкIыдпшылуа дгыланхатI. Ламбагвыр, 22. Он (ч.) остановился, глядя в спину бойца, разговаривавшего с самим собой. ТIульа д-хъа-чважв-итI. АчIвыйа, 43. Туля болтает (разговаривает с самим собой).\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3285
ХъачIыгвра	Хъа-[чIыгв]-ра\nперех.\nзапихать, запихивать что-л. сверху чего-н.\nАшыхIв ашIуна й-а-хъа-й-чIыгв-тI. Аб. Т. Он (м.) запихал солому в погреб (запихал в проход, в погреб).\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3286
ХъачIва	Хъа-[чIва]-\nнеперех.\nсидеть сверху на ком, чем-л. сидеть над кем, чем-л.\nАчв гIащагIвы ачIвгIваква ацIараква рхъачIвапI (й-р-хъа-чIва-пI). Ладу, 171. На рогах ленивого вола сидят воробъи. Алыгажв йхъазыта амца д-а-хъа-чIва-пI. Нышв, 105. Старик один сидит над огнем.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3287
ХъачIвара (1)	Хъа-[чIва]-ра\nнеперех.\nсесть, садиться сверху на кого, что-л.\nАпхlвысква айшва й-ан-ахъа-чlва хъацlакl дгlацlрытl. Нышв, 211. Когда женщины сели за стол (когда они сели сверху на стол), крикнул какой-то мужчина. Мухlаджьыр ауачва д-а-хъа-чlва-тl. А. тш., 29, Мухаджир принялся за ляжку (он сел на нее).\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3288
ХъачIвара (2)	Хъа-[чIва]-ра\nнеперех.\nпролиться, литься над кем, чем-л.\nАща йхъачlватl (й-й-хъа-чlва-тl). Аб. Т. Чтобы над ним пролилась кровь.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3289
ХъачIвачIвара	Хъа-[чIвачIва]-ра\nнеперех.\nприлипнуть, прилипать к чему-л.\nАнышв адзамбыр й-а-хъа-чlвачlва-тl. Аб. Т. Глина прилипла к оси.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3290
ХъачIвыура	Хъа-[чIвыу]-ра\nнеперех.\nплакать над кем, чем-л.\nАмара асаби й-гlа-й-хъа-чlвыу-итl. Ашахв, 73. Солнце плачет над ребенком.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3291
Хъашра (1)	Хъа-[ш]-ра\nнеперех.\nраскалиться, раскаляться над чем-л.\nАчуан ахъарпа ахъашытl (й-а-хъа-шы-тl). Аб. Т. Крышка котла раскалилась над ним.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3292
Хъашра (2)	Хъа-[ш]-ра\nнеперех.\nлаять над чем-л.\nАла адзыхь й-а-хъа-ш-уан. Аб. Т. Собака лаяла над родником.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3293
Хъашара	Хъа-[ша]-ра\nперех.\nразделить, делить что-л. между кем, чем-н. (на кого, что-н).\nЗаджв йпны йызбаз рхъасшун (й-р-хъа-с-ш-ун) зымгlвагьи. Сгвы, 112. Я между ними (на них) делил все, что обнаруживал у кого-л.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3294
Хъашахра (1)	Хъа-[шах]-ра\nнеперех.\nсгореть, гореть на чем-л.; злиться на кого, что-л.\nАгьвы амца й-а-хъа-шах-тl. Аб. Т. Доска сгорела на огне. Ахъацlа й-гlа-й-хъа-шах-тl. Аб. Т. Мужчина очень злится (то на нем сгорело).\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3295
Хъашахра (2)	Хъа-[шах]-ра\nперех.\nсжечь, сжигать что-л. на чем-н.\nАмшl гlваква амца й-а-хъа-р-шах-тl. Аб. Т. Они сожгли сухие дрова на огне.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3296
Хъашшра	Хъа-[шш]-ра\nперех.\nсплести, сплетать что-л. сверху чего-н.\nЛыгажв сгlакlгьи баца рхъайшшитl (й-р-хъа-й-шш-итl) ачlвгlванкза. Йынджьыгь, 42. И невысокий старик плетет плетень (ом на колья плетет хворостину).\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3297
Хъашвра	Хъа-[шв]-ра\nнеперех.\nзамерзнуть, замерзать на голове кого, что-л. наверху чего-л.\nАхъацlа йхъылпа йхъашвитl (й-й-хъа-швы-тl). Аб. Т. Голова мужчины мерзнет (его шапка на голове мерзнет). Ацlла д-хъа-швы-н дхъачlвапl. Аб. Т. Он (ч.) сидит на дереве, замерзнув на нем.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3298
Хъашвара	Хъа-[шва]-ра\nнеперех.\nпопасть, попадать сверху кого, чего-л.; подойти, подходить по размеру к голове.\nАкъврыкъв ауищттl, йтахъыз атшы й-а-хъа-шва-тl. Садтьыл, 154. Он (м.) кинул аркан (лассо), аркан попал на шею (голову) нужной лошади. Ахlба й-гlа-й-хъа-шва-н дпсытl. Садгьыл, 160. Старший внезапно скончался (то, попав на его голову). Ахъылпа йхъашвун (й-хъа-шв-ун). Аб. Т. Шапка подходила к нему (по размеру).\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3299
Хъашвира	Хъа-[шви]-ра\nнеперех.\nпослать, посылать проклятие\nАдзы д-а-хъа-шви-уан. Аб. Т. Он (ч.) проклинал над водой (посылал проклятие сверху над водой).\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3300
Хъашвшвра	Хъа-[швшв]-ра\n\nсвистнуть, свистеть сверху над кем, чем-л.\nАмшква д-р-хъа-швшв-уан. Аб. Т. Он (ч.) свистел над лошадьми.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3301
Хъащра	Хъа-[щ]-ра\nперех.\nубить, убивать кого-л. над кем, чем-н.; побить, бить кого-л. над кем, чем-н.\nАмшв ацха й-а-хъа-р-щы-тl. Аб. Т. Они убили медведя над медом. Аквыджьма ауаса й-а-хъа-р-щы-тl. Аб. Т. Они убили волка над овцой.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3302
Хъащщра	Хъа-[щщ]-ра\nнеперех.\nнаброситься, набрасываться на кого, что-л.\nДыздзхъадмырчlвуш айшва д-а-хъа-щщ-итl. АПА, 82. Он (ч.) садится (набрасывается) за стол, за который его не посадят.\nПРЕВЕРБ хъа +КОРЕНЬ\nКлычев, с. page\n3303
ХъбгIара	Хъ-[бгIа]-ра\nнеперех.\nсгнить, гнить сверху\nАргlынаква хъыбгlатl (й-хъы-бгlа-т). Аб. Т. Ряды скошенной травы гнили сверху.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3304
Хъблыгьара	Хъ-[блыгьа]-ра\nнеперех.\nупасть, падать, перевалившись через что-л.\nАгвара д-а-хъ-блыгьа-тl. АРС, 397. Он (ч.) перевалился через забор.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3305
Хъбырра	Хъ-[быр]-ра\nнеперех.\nдрожать из-за чего-л. (сверх чего-л.), жалеть кого, что-л.\nАгlвычlвгlвыс псынамхъа атенгьызгьи д-а-хъы-бр-итl. АПА, 22. Жадный человек дрожит и из-за моря (сверху моря).\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3306
Хъбыштра	Хъ-[бышт]-ра\nнеперех.\nударить, ударять мимо чего-л. не попасть во что-л.\nАшитан дасын д-а-хъ-бышт-тl, агьауыр дасын д-а-хъ-бышт-тl. А. тш., 57. Шайтан ударил — не попал в то (в.), гяур ударил — не попал в то (в.).\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3307
Хъгара (1)	Хъ-[га]-ра\nнеперех.\nразнестись, разноситься, раздаваться над кем, чем-л. (о звуке)\nБыжь дугьи ахъгитl (й-а-хъ-г-итl). Ащхъаква, 16. Над тем (в.) раздается сильный звук. Атенгьызква й-р-хъ-г-ун уара убыжь гвагlва. Сгвы, 56. Твой глухой голос разносился над морями.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3308
Хъгара (2)	Хъ-[га]-ра\nперех.\nперенести, переносить, перевезти, перевозить кого, что-л. через кого, что-н.\nСсаби тlакlв атенгьыз д-хъы-жв-га-та Бибаркт дыжвга. Нышв, 30. Вы моего бедного ребенка отвезите в Бибаркт, перевозя его через море. Хlшвхъымса ду й-хъы-з-га-тl. Ачlвыйа, 38. Я то (в.) перенес через наш большой порог.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3309
Хъгврымра	Хъ-[гврым]-ра\nнеперех.\nстонать, переживать из-за кого, чего-л. (сверх кого, что-л.)\nАрахв апстlа йагlвызапl у-а-хъы-м-гврымы-н. Аб. Т. Из-за скота не переживай (сверх того не переживай): скот — что роса.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3310
Хъгъвычвра	Хъ-[гъвы]-чвра\nперех.\nсрезать что-л. сверху\nАтшада агlвлымхlакl хъигъвычвтl (й-хъ-и-гъвы-чв-тl). Локl, 87. Он (м.) срезал (сверху срезал) уши ишака.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3311
ХъгIва	Хъ-[гIва]-\nлек. атр.\nзакрытый\nАсабиква ла хъ-гlва йасуан. Аб. Т. Дети играли в жмурки (играли в закрытые глаза).\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3312
ХъгIвара (1)	Хъ-[гIва]-ра\nперех.\nзакрыть, закрывать что-л. сверху\nАсгьи быщтаква хънагlватl (й-хъ-на-гlва-тl). Йара, 109. И снег закрыл твои (ж.) следы. Акъырльу хlвыча апстхlва й-хъ-на-гlв-итl. Ашахв, 75. Туча закрывает (сверху) стаю журавлей. Аси апши зымгlва хъыргlватl (й-хъы-р-гlва-тl). Нышв, 262. Снег и ветер все закрыли (закрыли сверху}.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3313
ХъгIвара (2)	Хъ-[гIва]-ра\nнеперех.\nокучить, окучивать, заниматься окучиванием (сверху)\nХъвлагlанцlакl д-хъ-гlв-ун. Он (ч.) весь день окучивал (занимался окучиванием).\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3314
ХъгIвара (3)	Хъ-[гIва]-ра\nперех.\nокучить, окучивать что-л. (сверху)\nАкlартlоф хъыргlвун (й-хъы-р-гlв-ун). Аб. Т. Они окучивали картофель.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3315
ХъгIвызра	Хъ-[гIвыз]-ра\nнеперех.\nперелолзти, переползать сверху чего-л., через что-л.\nАщтанчlв алаба й-хъы-гlвзы-тl (й-а-хъы-гlвзы-тl). АРС, 401. Змея переползла через палку.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3316
ХъгIвырра	Хъ-[гIвыр]-ра\nнеперех.\nразрушиться, разрушаться (сверху)\nАтып ахъгlвыруан (й-а-хъ-гlвыр-уан). Аб. Т. Шалаш разрушался.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3317
Хъдзара	Хъ-[дза]-ра\nнеперех.\nотстояться, отетаиваться сверху (о мутной воде); установиться сверху (о погоде); успокоиться, успокаиваться\nАдзы хъыдзандзыкlьа (й-хъ-дза-н-дзы-кlьа) уазпшы. Аб. Т. Ты (м.) подожди, пока отстоится вода. Амш хъдзахтl (й-хъ-дза-х-тl). Аб. Т. День прояснился (установился сверху). Асабигьи д-хъ-дза-х-тl. Аб. Т. И ребенок успокоился.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3318
Хъжвара	Хъ-[жва]-ра\nперех.\nразорвать, разрывать кого, что-л. сверху; сорвать, срывать что-л. сверху\nДжьандра й-хъ-и-жва-з//й-а-хъ-и-жва-з асальамшвъа гlайахвтl. Джьандра, 123. Джандра взял письмо, которое он вскрыл (разорвал сверху того (в.). Апстхlва квайчlва лнапlы чкlвынла й-с-хъы-л-жва-тl. Нышв, 96. Она (ж.) своей маленькой ручкой сорвала с меня черную тучу. Атдзакв ахъужвитl (й-а-хъ-у-жв-итl). Насып, 73. Ты (м.) срываешь крышу с дома.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3319
Хъкшара	Хъ-[кша]-ра\nнеперех.\nупасть, перевернуться через что-л.\nАкомендант д-а-хъ-кша-тl. Муртат, 37. Комендант упал (перевернулся через то).\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3320
Хъкъьа	Хъ-[къьа]-\nсуб.\nобложка, чехол; матрасник, наволочка\nАчумадан хъ-къьа-хатl. Аб. Т. Чехол чемодана износился. Ахъчы хъкъьа шlыц ахъылкъьатl. Аб. Т. Она (ж.) вложила подушку в новую наволочку,\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3321
Хъкъьара	Хъ-[къьа]-ра\nперех.\nпокрыть, покрывать что-л. сверху; испустить, излучать что-л. сверху; утолить, утолять жажду (отбить, отбивать что-л. у кого-н.)\nАтдзы акв хъыркъьун (й-хъы-р-къь-ун). Аб. Т. Они покр вали крышу дома (сверху). Амца гlайхъыкъьауа (й-гlа-й-хъы-къьа-уа) дгlатшкlараххытl. Муртат, 15. Он (м.) забежал во двор, излучая огонь. Ауи удзышхъв гьухънакъьушым (й-гь-у-хъ-на-къь-ушы-м). Нышв, 346. То не утолит жажду (оно у тебя то не отобьет).\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3322
ХъкIы	Хъ-[кIы]-\nсуб.\nсметана, сливки (букв. сверху держать)\nАгlвква хъ-кlы ртарчватl. Нышв, 212. Они в корыта налили сметаны.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3323
ХъкIра	Хъ-[кI]-ра\nперех.\nснять, снимать, удержать, держать что-л. сверху\nАдз хьчlвачlва хъкlы гlахъикlитl (й-гlа-а-хъ-и-кl-итl), АПА, 24. Он (м.) с холодной воды снимет сливки. Хъкlы хъылкlитl (й-хъы-л-кl-итl). Аб. Т. Она (ж.) снимает (сверху) снимает сметану (сливки). Ачlван ашша хъикlитl (й-хъ-и-кl-итl). АРС, 398. Он (м.) снимает жир с бульона.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3324
ХъкIкIра	Хъ-[кIкI]-ра\nнеперех.\nосветить, освешкать над кем, чем-л.; сверкать над кем, чем-л.\nАурам мцабзыта й-а-хъ-кlкl-ун. Аб. Т. То (в.) пронеслось над улицей пламенем.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3325
ХъкIвкIвара	Хъ-[кIвкIва]-ра\nнеперех.\nпроясниться, проясняться сверху (о погоде); успокоиться, успокаиваться (о человеке)\nАмш хъкlвкlвахтl (й-хъ-кlвкlва-х-тl). Аб. Т. День прояснился. Йгвыжвкlыз ачкlвын д-хъ-кlвкlва-х-тl. Аб. Т. Рассерженный парень успокоился.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3326
ХъкIвырра	Хъ-[кIвыр]-ра\nнеперех.\nперелолзти; переползать через кого, что-л. сверху кого, чего-н.\nАндакь д-а-хъ-кlвры-х-тl. Аб. Т. Он (ч.) переполз через яму (сверху ямы).\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3327
ХъкIьра	Хъ-[кIь]-ра\nнеперех.\nнакрениться, наклониться, крениться, наклоняться сверху\nАкlьанджьа хъкlьытl (й-хъ-кlьы-тl). АРС, 398. Лодка накренилась. Дызхвынгылуа хъкlьитl (й-хъ-кlь-итl). Ачlвыйа, 42. То, на что он (ч.) наступает, кренится (наклоняется).\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3328
Хънаргара	Хъ-на-р-[га]-ра\nперех.\nувести, уводить кого, что-л. от кого, чего-н. сверху кого, чего-н.\nДатша закlы далачважвауа й-а-хъ-на-йы-р-г-ун. Нышь, 49. Он (м.) уводил то от того, говоря о другом.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3329
ХънархIвара	Хъ-на-р-[хIва]-ра\nперех.\nперевыполнить, перевыполнять что-л. сверх чего-н. (перевалить что-л, через что-н.)\nЗни бжакlила й-а-хъ-на-сы-р-хlв-уштl схачlвы. Сгвы, 103. Я перевыполню (перевалю) свое задание в полтора раза.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3330
Хъпсара перех	Хъ-[пса]-ра\nперех.\nперебросить, перебрасывать что-л. (легкое) через что-н. (сверху чего-н.), перерыть, перестроить, перестраивать что-л.\nАпхlвыс абыгъьква ашвхъымса й-хъы-л-пс-ун. Ком., 29.XI.1986, 11. Женщина через порог перебрасывала листья. Ахъыгъв-цlыгьвква зымгlва ахъырпсатl (й-а-хъы-р-пса-тl). Адгьыл, 6. Они перерыли все вещи (постельные принадлежности).\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3331
Хъпшшара (1)	Хъ-[пшша]-ра\nлек. атр.\nобсохший\nШlахъа хъ-пшша-кl йакlвын. Аб. Т. Он был с обсохшим лицом.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3332
Хъпшшара (2)	Хъ-[пшша]-ра\nнеперех.\nобветриться, обветриваться сверху\nАшварацыгlв д-а-хъ-пшша-тl. Аб. Т. Охотник обветрился. Йпыкв ахъпшшан (й-а-хъ-пшша-н). Насып, 73. Его (м.) губа обветрилась.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3333
ХъпIлара	Хъ-[пIла]-ра\nнеперех.\nвысыпаться через край, верх; рассыпаться, отсыпаться чего-л. (о нанизанных предметах)\nАнартыхв апщырхlа й-хъ-пlл-ун//й-а-хъ-пlл-ун. Аб. Т. Кукуруза высыпалась через край ведра. Ачхъаква хъпlлатl (й-хъ-пlла-тl). АРС, 399. Колосья осыпались. Амхвква ахъда й-хъ-пlла-тl. Аб. Т. Бусы рассыпались (они отсыпались от нитки).\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3334
Хъыртшра	Хъы-р-[тш]-ра\nперех.\nзагнуть, загибать что-л. сверху; закатать, закатывать что-л. сверху\nЙан хъатакlла й-хъ-лы-р-тшы-тl ахъыза акъвапагьи. Муртат, 12. Его мать загнула угол одеяла. Ймыгъраква хъйыртшытl (й-хъ-йы-р-тшы-тl). Аб. Т. Он (м.) закатал свои рукава.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3335
Хърыпара	Хъ-ры-[па]-ра\nперех.\nпропустить, пропускать (сроки чего-л.)\nЙаргьи пщащта йымаз й-гь-а-хъ-и-м-ры-па-тl. Нышв, 215. И он (м.) не пропустил имевшегося срока. Ачымазагlв йчара зынгьи й-гь-а-хъы-л-ры-п-ум. Джькlахбаста, 71. Она (ж.) никогда не пропускает времени (срока) обеда больного.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3336
Хърыпхра (1)	Хъ-ры-[пх]-ра\nсуб.\nвязанка, связка\nДжьымш хъ-ры-пх-ра-кl лнапlыцlан. Аб. Т. Она (ж.) держала в руке связку лука.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3337
Хърыпхра (2)	Хъ-ры-[пх]-ра\nперех.\nнанизать, нанизывать что-л, на что-н.\nАмхвква арахъва й-а-хъы-л-ры-пх-уан. Аб. Т. Она (ж.) нанизывала бусы на нитку.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3338
Хърысра	Хъ-ры-[с]-ра\nперех.\nпокрыть, покрывать кого, что-л.\nПабло йхакв атутанакътараква й-хъ-д-ры-с-тl. Ашахв, 67. Тюрьмы покрыли родину Пабло. Аджьахашваквагьи къадабала й-хъ-д-ры-с-тl. Джьандра, 167. Они и полы покрыли коврами.\nПРЕВЕРБ хъ(ы)+КОРНИ\nКлычев, с. page\n3339
